2025-03-27 04:39:01.165232: Волк (6, 9) съел Олень на (5, 8). Голод: 0
2025-03-27 04:39:01.169233: Волк (15, 10) съел Олень на (15, 10). Голод: 0
2025-03-27 04:39:01.177236: Волк (0, 18) съел Олень на (1, 17). Голод: 0
2025-03-27 04:39:01.186235: Волк (18, 18) съел Олень на (17, 19). Голод: 0
2025-03-27 04:39:01.193279: Волк (6, 11) съел Олень на (7, 10). Голод: 0
2025-03-27 04:39:01.201238: Волк (5, 3) съел Олень на (5, 2). Голод: 0
2025-03-27 04:39:01.209238: Волк (19, 8) съел Олень на (18, 7). Голод: 0
2025-03-27 04:39:01.216276: Волк (7, 17) съел Олень на (6, 18). Голод: 0
2025-03-27 04:39:01.225288: Волк (0, 6) съел Олень на (0, 7). Голод: 0
2025-03-27 04:39:01.233403: Волк (10, 19) съел Олень на (9, 18). Голод: 0
2025-03-27 04:39:01.241367: Волк (14, 9) съел Олень на (15, 10). Голод: 0
2025-03-27 04:39:01.249362: Волк (18, 13) съел Олень на (17, 14). Голод: 0
2025-03-27 04:39:01.256360: Волк (9, 1) съел Олень на (10, 2). Голод: 0
2025-03-27 04:39:01.265403: Волк (7, 19) съел Олень на (6, 18). Голод: 0
2025-03-27 04:39:01.274362: Волк (11, 8) съел Олень на (11, 8). Голод: 0
2025-03-27 04:39:01.282367: Волк (19, 2) съел Олень на (19, 1). Голод: 0
2025-03-27 04:39:01.291404: Волк (11, 6) съел Олень на (10, 6). Голод: 0
2025-03-27 04:39:01.300362: Волк (16, 14) съел Олень на (15, 13). Голод: 0
2025-03-27 04:39:01.308484: Волк (6, 7) съел Олень на (6, 7). Голод: 0
2025-03-27 04:39:01.317517: Волк (11, 2) съел Олень на (11, 2). Голод: 0
2025-03-27 04:39:01.326482: Волк (9, 4) съел Олень на (10, 4). Голод: 0
2025-03-27 04:39:01.334478: Волк (0, 18) съел Олень на (0, 19). Голод: 0
2025-03-27 04:39:01.343520: Волк (8, 12) съел Олень на (8, 12). Голод: 0
2025-03-27 04:39:01.352483: Волк (11, 12) съел Олень на (12, 12). Голод: 0
2025-03-27 04:39:01.360479: Волк (8, 2) съел Олень на (7, 2). Голод: 0
2025-03-27 04:39:01.369482: Волк (19, 15) съел Олень на (18, 14). Голод: 0
2025-03-27 04:39:01.377479: Волк (2, 10) съел Олень на (1, 11). Голод: 0
2025-03-27 04:39:01.386520: Волк (14, 6) съел Олень на (14, 6). Голод: 0
2025-03-27 04:39:01.399940: Волк (5, 17) съел Олень на (6, 18). Голод: 0
