2025-03-27 16:12:22.209128: Волк съел Олень на (15, 16). Голод: 0
2025-03-27 16:12:22.216294: Волк съел Олень на (5, 17). Голод: 0
2025-03-27 16:12:22.238904: Волк съел Олень на (0, 0). Голод: 0
2025-03-27 16:12:22.256251: Волк съел Олень на (4, 19). Голод: 0
2025-03-27 16:12:22.273360: Волк съел Олень на (15, 2). Голод: 0
2025-03-27 16:12:22.286670: Волк съел Олень на (18, 18). Голод: 0
2025-03-27 16:12:22.295828: Волк съел Олень на (18, 11). Голод: 0
2025-03-27 16:12:22.304922: Волк съел Олень на (7, 9). Голод: 0
2025-03-27 16:12:22.314114: Волк съел Олень на (5, 1). Голод: 0
2025-03-27 16:12:22.326280: Волк съел Олень на (5, 1). Голод: 0
2025-03-27 16:12:22.344030: Волк съел Олень на (17, 2). Голод: 0
2025-03-27 16:12:22.361444: Волк съел Олень на (5, 1). Голод: 0
2025-03-27 16:12:22.379852: Волк съел Олень на (0, 16). Голод: 0
2025-03-27 16:12:22.400270: Волк съел Олень на (3, 0). Голод: 0
2025-03-27 16:12:22.425004: Волк съел Олень на (7, 14). Голод: 0
2025-03-27 16:12:22.448452: Волк съел Олень на (10, 2). Голод: 0
2025-03-27 16:12:22.462703: Волк съел Олень на (13, 8). Голод: 0
2025-03-27 16:12:22.486040: Волк съел Олень на (0, 0). Голод: 0
2025-03-27 16:12:22.506466: Волк съел Олень на (12, 12). Голод: 0
2025-03-27 16:12:22.525126: Волк съел Олень на (10, 2). Голод: 0
2025-03-27 16:12:22.540470: Волк съел Олень на (14, 6). Голод: 0
2025-03-27 16:12:22.549659: Волк съел Олень на (11, 16). Голод: 0
2025-03-27 16:12:22.562831: Волк съел Олень на (5, 1). Голод: 0
2025-03-27 16:12:22.575002: Волк съел Олень на (13, 4). Голод: 0
2025-03-27 16:12:22.587475: Волк съел Олень на (18, 10). Голод: 0
2025-03-27 16:12:22.596561: Волк съел Олень на (17, 2). Голод: 0
2025-03-27 16:12:22.615057: Волк съел Олень на (18, 14). Голод: 0
2025-03-27 16:12:22.636545: Волк съел Олень на (3, 18). Голод: 0
2025-03-27 16:12:22.655948: Волк съел Олень на (18, 11). Голод: 0
2025-03-27 16:12:22.675912: Волк съел Олень на (0, 3). Голод: 0
2025-03-27 16:12:22.693272: Волк съел Олень на (16, 13). Голод: 0
2025-03-27 16:12:22.708522: Олень съел растение на (3, 7). Голод: 0
2025-03-27 16:12:22.718701: Олень съел растение на (12, 9). Голод: 0
2025-03-27 16:12:22.732869: Олень съел растение на (15, 12). Голод: 0
2025-03-27 16:12:22.746162: Олень съел растение на (1, 17). Голод: 0
2025-03-27 16:12:22.759359: Олень съел растение на (18, 10). Голод: 0
2025-03-27 16:12:22.769536: Олень съел растение на (13, 15). Голод: 0
2025-03-27 16:12:22.777703: Олень съел растение на (13, 0). Голод: 0
2025-03-27 16:12:22.786776: Олень съел растение на (18, 9). Голод: 0
2025-03-27 16:12:22.794961: Олень съел растение на (11, 9). Голод: 0
2025-03-27 16:12:22.804133: Олень съел растение на (10, 12). Голод: 0
2025-03-27 16:12:22.812214: Олень съел растение на (15, 11). Голод: 0
2025-03-27 16:12:22.821392: Олень съел растение на (3, 0). Голод: 0
2025-03-27 16:12:22.830483: Олень съел растение на (5, 12). Голод: 0
2025-03-27 16:12:22.839666: Олень съел растение на (8, 8). Голод: 0
2025-03-27 16:12:22.848829: Олень съел растение на (5, 1). Голод: 0
2025-03-27 16:12:22.858062: Олень съел растение на (2, 5). Голод: 0
2025-03-27 16:12:22.870244: Олень съел растение на (14, 2). Голод: 0
2025-03-27 16:12:22.882456: Олень съел растение на (4, 8). Голод: 0
2025-03-27 16:12:22.892823: Олень съел растение на (13, 3). Голод: 0
2025-03-27 16:12:22.902007: Олень съел растение на (8, 14). Голод: 0
2025-03-27 16:12:22.911185: Олень съел растение на (15, 7). Голод: 0
2025-03-27 16:12:22.928430: Олень съел растение на (14, 4). Голод: 0
2025-03-27 16:12:22.942597: Олень съел растение на (19, 14). Голод: 0
2025-03-27 16:12:22.952782: Олень съел растение на (10, 16). Голод: 0
2025-03-27 16:12:22.961940: Олень съел растение на (1, 17). Голод: 0
2025-03-27 16:12:22.974096: Олень съел растение на (10, 16). Голод: 0
2025-03-27 16:12:22.994179: Олень съел растение на (1, 17). Голод: 0
2025-03-27 16:12:23.007177: Олень съел растение на (2, 14). Голод: 0
2025-03-27 16:12:23.022176: Олень съел растение на (0, 12). Голод: 0
2025-03-27 16:12:23.033262: Олень съел растение на (11, 12). Голод: 0
2025-03-27 16:12:23.042452: Олень съел растение на (8, 19). Голод: 0
2025-03-27 16:12:23.051608: Олень съел растение на (16, 8). Голод: 0
2025-03-27 16:12:23.059699: Олень съел растение на (14, 2). Голод: 0
2025-03-27 16:12:23.068868: Олень съел растение на (0, 12). Голод: 0
2025-03-27 16:12:23.078044: Олень съел растение на (18, 8). Голод: 0
2025-03-27 16:12:23.087198: Олень съел растение на (15, 11). Голод: 0
2025-03-27 16:12:23.096344: Олень съел растение на (19, 16). Голод: 0
2025-03-27 16:12:23.104504: Олень съел растение на (10, 3). Голод: 0
2025-03-27 16:12:23.113637: Олень съел растение на (2, 19). Голод: 0
2025-03-27 16:12:23.121897: Олень съел растение на (5, 5). Голод: 0
2025-03-27 16:12:23.131159: Олень съел растение на (1, 17). Голод: 0
