2025-03-27 16:14:18.212767: Волк (2, 7) съел Олень на (2, 8). Голод: 0
2025-03-27 16:14:18.217854: Волк (16, 14) съел Олень на (15, 13). Голод: 0
2025-03-27 16:14:18.229042: Волк (16, 8) съел Олень на (16, 7). Голод: 0
2025-03-27 16:14:18.239204: Волк (5, 1) съел Олень на (6, 0). Голод: 0
2025-03-27 16:14:18.250393: Волк (5, 8) съел Олень на (4, 7). Голод: 0
2025-03-27 16:14:18.259550: Волк (4, 10) съел Олень на (4, 9). Голод: 0
2025-03-27 16:14:18.270742: Волк (6, 7) съел Олень на (7, 7). Голод: 0
2025-03-27 16:14:18.278918: Волк (8, 5) съел Олень на (9, 4). Голод: 0
2025-03-27 16:14:18.288095: Волк (1, 18) съел Олень на (2, 18). Голод: 0
2025-03-27 16:14:18.297281: Волк (13, 10) съел Олень на (13, 11). Голод: 0
2025-03-27 16:14:18.308462: Волк (1, 1) съел Олень на (2, 2). Голод: 0
2025-03-27 16:14:18.316551: Волк (7, 3) съел Олень на (8, 3). Голод: 0
2025-03-27 16:14:18.326733: Волк (15, 9) съел Олень на (16, 9). Голод: 0
2025-03-27 16:14:18.336900: Волк (16, 2) съел Олень на (16, 3). Голод: 0
2025-03-27 16:14:18.348189: Волк (15, 4) съел Олень на (15, 4). Голод: 0
2025-03-27 16:14:18.365277: Волк (12, 9) съел Олень на (12, 9). Голод: 0
2025-03-27 16:14:18.377453: Волк (0, 8) съел Олень на (0, 8). Голод: 0
2025-03-27 16:14:18.387624: Волк (9, 0) съел Олень на (10, 1). Голод: 0
2025-03-27 16:14:18.398789: Волк (17, 17) съел Олень на (16, 18). Голод: 0
2025-03-27 16:14:18.411021: Волк (8, 1) съел Олень на (8, 0). Голод: 0
2025-03-27 16:14:18.424214: Волк (6, 0) съел Олень на (6, 0). Голод: 0
2025-03-27 16:14:18.432396: Волк (12, 3) съел Олень на (13, 2). Голод: 0
2025-03-27 16:14:18.441550: Волк (17, 9) съел Олень на (16, 9). Голод: 0
2025-03-27 16:14:18.449645: Волк (11, 19) съел Олень на (12, 18). Голод: 0
2025-03-27 16:14:18.458811: Волк (14, 3) съел Олень на (15, 4). Голод: 0
2025-03-27 16:14:18.466894: Волк (2, 0) съел Олень на (1, 0). Голод: 0
2025-03-27 16:14:18.476052: Волк (1, 7) съел Олень на (0, 7). Голод: 0
2025-03-27 16:14:18.484208: Волк (17, 18) съел Олень на (16, 18). Голод: 0
2025-03-27 16:14:18.495508: Волк (8, 9) съел Олень на (8, 10). Голод: 0
2025-03-27 16:14:18.511271: Волк (4, 16) съел Олень на (4, 16). Голод: 0
2025-03-27 16:14:18.519408: Волк (11, 14) съел Олень на (12, 15). Голод: 0
2025-03-27 16:14:18.527689: Волк (19, 12) съел Олень на (18, 13). Голод: 0
2025-03-27 16:14:18.536907: Олень (2, 11) съел растение на (1, 11). Голод: 0
2025-03-27 16:14:18.560341: Олень (15, 14) съел растение на (16, 14). Голод: 0
2025-03-27 16:14:18.560341: Олень (18, 13) съел растение на (18, 13). Голод: 0
2025-03-27 16:14:18.569556: Олень (16, 7) съел растение на (16, 7). Голод: 0
2025-03-27 16:14:18.578667: Олень (10, 0) съел растение на (11, 0). Голод: 0
2025-03-27 16:14:18.586980: Олень (17, 4) съел растение на (16, 4). Голод: 0
2025-03-27 16:14:18.596153: Олень (2, 7) съел растение на (3, 6). Голод: 0
2025-03-27 16:14:18.605259: Олень (8, 7) съел растение на (9, 7). Голод: 0
2025-03-27 16:14:18.613546: Олень (7, 7) съел растение на (8, 8). Голод: 0
2025-03-27 16:14:18.622807: Олень (0, 8) съел растение на (0, 7). Голод: 0
2025-03-27 16:14:18.632034: Олень (6, 6) съел растение на (6, 7). Голод: 0
2025-03-27 16:14:18.642164: Олень (13, 19) съел растение на (12, 19). Голод: 0
2025-03-27 16:14:18.650459: Олень (8, 0) съел растение на (9, 1). Голод: 0
2025-03-27 16:14:18.659729: Олень (0, 1) съел растение на (0, 1). Голод: 0
2025-03-27 16:14:18.668892: Олень (16, 12) съел растение на (15, 11). Голод: 0
2025-03-27 16:14:18.677031: Олень (12, 15) съел растение на (11, 15). Голод: 0
2025-03-27 16:14:18.686342: Олень (12, 13) съел растение на (11, 14). Голод: 0
2025-03-27 16:14:18.695507: Олень (12, 10) съел растение на (11, 9). Голод: 0
2025-03-27 16:14:18.703686: Олень (16, 13) съел растение на (17, 12). Голод: 0
2025-03-27 16:14:18.712893: Олень (4, 7) съел растение на (3, 6). Голод: 0
2025-03-27 16:14:18.721136: Олень (16, 3) съел растение на (17, 2). Голод: 0
2025-03-27 16:14:18.730274: Олень (12, 7) съел растение на (13, 8). Голод: 0
2025-03-27 16:14:18.739520: Олень (3, 0) съел растение на (4, 1). Голод: 0
2025-03-27 16:14:18.748748: Олень (18, 7) съел растение на (19, 7). Голод: 0
2025-03-27 16:14:18.757: Олень (9, 12) съел растение на (10, 12). Голод: 0
2025-03-27 16:14:18.766130: Олень (12, 3) съел растение на (11, 4). Голод: 0
2025-03-27 16:14:18.775372: Олень (11, 12) съел растение на (10, 12). Голод: 0
2025-03-27 16:14:18.784646: Олень (9, 3) съел растение на (9, 3). Голод: 0
2025-03-27 16:14:18.792820: Олень (13, 0) съел растение на (14, 0). Голод: 0
2025-03-27 16:14:18.802004: Олень (9, 4) съел растение на (9, 3). Голод: 0
2025-03-27 16:14:18.811255: Олень (1, 12) съел растение на (1, 11). Голод: 0
2025-03-27 16:14:18.820473: Олень (8, 19) съел растение на (9, 18). Голод: 0
2025-03-27 16:14:18.829599: Олень (15, 4) съел растение на (14, 3). Голод: 0
2025-03-27 16:14:18.837902: Олень (13, 13) съел растение на (14, 14). Голод: 0
2025-03-27 16:14:18.847131: Олень (7, 13) съел растение на (7, 12). Голод: 0
2025-03-27 16:14:18.859352: Олень (1, 11) съел растение на (0, 10). Голод: 0
2025-03-27 16:14:18.871723: Олень (3, 10) съел растение на (4, 9). Голод: 0
2025-03-27 16:14:18.881921: Олень (9, 2) съел растение на (9, 3). Голод: 0
2025-03-27 16:14:18.892025: Олень (3, 5) съел растение на (3, 6). Голод: 0
2025-03-27 16:14:18.901145: Олень (3, 17) съел растение на (3, 16). Голод: 0
2025-03-27 16:14:18.910431: Олень (2, 18) съел растение на (2, 19). Голод: 0
2025-03-27 16:14:18.919653: Олень (18, 13) съел растение на (18, 13). Голод: 0
2025-03-27 16:14:18.929768: Олень (8, 7) съел растение на (9, 7). Голод: 0
2025-03-27 16:14:18.939958: Олень (15, 13) съел растение на (16, 14). Голод: 0
2025-03-27 16:14:18.949207: Олень (18, 13) съел растение на (18, 13). Голод: 0
2025-03-27 16:14:18.958416: Олень (1, 18) съел растение на (1, 19). Голод: 0
2025-03-27 16:14:18.967679: Олень (12, 9) съел растение на (13, 8). Голод: 0
2025-03-27 16:14:18.976811: Олень (13, 2) съел растение на (12, 2). Голод: 0
2025-03-27 16:14:18.986973: Олень (2, 5) съел растение на (3, 4). Голод: 0
