2025-03-27 16:38:35.326517: Волк (12, 9) съел Овца на (11, 10). Голод: 0
2025-03-27 16:38:35.334642: Волк (7, 5) съел Кролик на (6, 6). Голод: 0
2025-03-27 16:38:35.348990: Волк (6, 6) съел Олень на (7, 7). Голод: 0
2025-03-27 16:38:35.364348: Волк (1, 16) съел Лошадь на (2, 16). Голод: 0
2025-03-27 16:38:35.375584: Волк (0, 10) съел Коза на (0, 11). Голод: 0
2025-03-27 16:38:35.402047: Волк (15, 8) съел Овца на (14, 7). Голод: 0
2025-03-27 16:38:35.428747: Волк (11, 6) съел Олень на (11, 7). Голод: 0
2025-03-27 16:38:35.472960: Волк (17, 16) съел Мышь на (18, 15). Голод: 0
2025-03-27 16:38:35.486308: Волк (16, 15) съел Лошадь на (16, 14). Голод: 0
2025-03-27 16:38:35.500532: Волк (0, 7) съел Кролик на (0, 8). Голод: 0
2025-03-27 16:38:35.512834: Волк (13, 17) съел Лошадь на (14, 17). Голод: 0
2025-03-27 16:38:35.528169: Волк (14, 12) съел Олень на (14, 11). Голод: 0
2025-03-27 16:38:35.544536: Волк (12, 8) съел Олень на (11, 7). Голод: 0
2025-03-27 16:38:35.557769: Волк (15, 5) съел Мышь на (16, 4). Голод: 0
2025-03-27 16:38:35.575078: Волк (8, 19) съел Кролик на (9, 19). Голод: 0
2025-03-27 16:38:35.591293: Волк (7, 14) съел Лошадь на (7, 13). Голод: 0
2025-03-27 16:38:35.610677: Волк (19, 2) съел Лошадь на (18, 1). Голод: 0
2025-03-27 16:38:35.629129: Волк (18, 2) съел Олень на (18, 3). Голод: 0
2025-03-27 16:38:35.643245: Волк (7, 10) съел Олень на (6, 10). Голод: 0
2025-03-27 16:38:35.661494: Волк (10, 6) съел Олень на (10, 7). Голод: 0
2025-03-27 16:38:35.675859: Волк (7, 18) съел Овца на (8, 17). Голод: 0
2025-03-27 16:38:35.692195: Волк (3, 3) съел Лошадь на (4, 2). Голод: 0
2025-03-27 16:38:35.708818: Волк (4, 7) съел Лошадь на (3, 7). Голод: 0
2025-03-27 16:38:35.725179: Волк (15, 16) съел Лошадь на (14, 17). Голод: 0
2025-03-27 16:38:35.741483: Волк (15, 3) съел Мышь на (16, 4). Голод: 0
2025-03-27 16:38:35.755713: Волк (18, 1) съел Мышь на (17, 1). Голод: 0
2025-03-27 16:38:35.772024: Волк (6, 0) съел Коза на (5, 0). Голод: 0
2025-03-27 16:38:35.788375: Волк (11, 2) съел Мышь на (10, 1). Голод: 0
2025-03-27 16:38:35.806812: Олень (11, 7) съел растение на (10, 6). Голод: 0
2025-03-27 16:38:35.883770: Олень (3, 19) съел растение на (4, 19). Голод: 0
2025-03-27 16:38:35.902115: Олень (3, 18) съел растение на (3, 17). Голод: 0
2025-03-27 16:38:35.962829: Олень (1, 14) съел растение на (2, 14). Голод: 0
2025-03-27 16:38:35.963826: Олень (6, 10) съел растение на (7, 10). Голод: 0
2025-03-27 16:38:35.981151: Олень (10, 7) съел растение на (10, 6). Голод: 0
2025-03-27 16:38:35.998586: Олень (15, 14) съел растение на (15, 15). Голод: 0
2025-03-27 16:38:36.015926: Олень (10, 5) съел растение на (11, 5). Голод: 0
2025-03-27 16:38:36.037202: Олень (8, 12) съел растение на (7, 13). Голод: 0
2025-03-27 16:38:36.058772: Олень (14, 11) съел растение на (15, 12). Голод: 0
2025-03-27 16:38:36.082418: Олень (5, 8) съел растение на (6, 8). Голод: 0
2025-03-27 16:38:36.107788: Олень (12, 6) съел растение на (12, 5). Голод: 0
2025-03-27 16:38:36.137764: Олень (17, 5) съел растение на (18, 5). Голод: 0
2025-03-27 16:38:36.175386: Олень (19, 16) съел растение на (19, 16). Голод: 0
2025-03-27 16:38:36.196707: Олень (18, 3) съел растение на (19, 4). Голод: 0
2025-03-27 16:38:36.224123: Олень (19, 13) съел растение на (18, 13). Голод: 0
2025-03-27 16:38:36.250461: Олень (2, 3) съел растение на (2, 2). Голод: 0
2025-03-27 16:38:36.269762: Олень (19, 5) съел растение на (19, 5). Голод: 0
2025-03-27 16:38:36.282066: Медведь (5, 1) съел Лошадь на (4, 2). Голод: 0
2025-03-27 16:38:36.298373: Орел (2, 15) съел Кролик на (1, 14). Голод: 0
2025-03-27 16:38:36.309479: Лошадь (2, 16) съел растение на (3, 17). Голод: 0
2025-03-27 16:38:36.320690: Коза (10, 14) съел растение на (10, 14). Голод: 0
2025-03-27 16:38:36.332885: Овца (12, 8) съел растение на (11, 8). Голод: 0
2025-03-27 16:38:36.345208: Кролик (10, 19) съел растение на (11, 19). Голод: 0
2025-03-27 16:38:36.356533: Мышь (18, 15) съел растение на (19, 16). Голод: 0
2025-03-27 16:38:36.367873: Орел (18, 6) съел Олень на (19, 5). Голод: 0
2025-03-27 16:38:36.380092: Лошадь (3, 7) съел растение на (3, 7). Голод: 0
2025-03-27 16:38:36.392531: Коза (7, 9) съел растение на (6, 8). Голод: 0
2025-03-27 16:38:36.403846: Кролик (1, 13) съел растение на (0, 13). Голод: 0
2025-03-27 16:38:36.416114: Мышь (17, 1) съел растение на (17, 0). Голод: 0
2025-03-27 16:38:36.428439: Орел (12, 6) съел Олень на (12, 6). Голод: 0
2025-03-27 16:38:36.440837: Лошадь (7, 13) съел растение на (7, 13). Голод: 0
2025-03-27 16:38:36.453197: Коза (9, 19) съел растение на (8, 18). Голод: 0
2025-03-27 16:38:36.465573: Кролик (7, 9) съел растение на (6, 8). Голод: 0
2025-03-27 16:38:36.478803: Мышь (16, 4) съел растение на (15, 5). Голод: 0
2025-03-27 16:38:36.498331: Лиса (3, 10) съел Коза на (4, 9). Голод: 0
2025-03-27 16:38:36.513720: Лошадь (4, 2) съел растение на (4, 1). Голод: 0
2025-03-27 16:38:36.528013: Коза (7, 16) съел растение на (8, 15). Голод: 0
2025-03-27 16:38:36.544520: Овца (13, 8) съел растение на (14, 7). Голод: 0
2025-03-27 16:38:36.560869: Кролик (0, 8) съел растение на (1, 7). Голод: 0
2025-03-27 16:38:36.573129: Мышь (10, 1) съел растение на (10, 1). Голод: 0
2025-03-27 16:38:36.594574: Медведь (3, 14) съел Мышь на (2, 14). Голод: 0
2025-03-27 16:38:36.617164: Лиса (0, 14) съел Кролик на (1, 13). Голод: 0
2025-03-27 16:38:36.631506: Лошадь (9, 9) съел растение на (9, 8). Голод: 0
2025-03-27 16:38:36.650822: Коза (4, 9) съел растение на (3, 9). Голод: 0
2025-03-27 16:38:36.665151: Овца (9, 16) съел растение на (10, 16). Голод: 0
2025-03-27 16:38:36.677370: Кролик (1, 12) съел растение на (2, 11). Голод: 0
2025-03-27 16:38:36.691696: Мышь (2, 14) съел растение на (1, 15). Голод: 0
2025-03-27 16:38:36.703918: Лошадь (16, 14) съел растение на (17, 13). Голод: 0
2025-03-27 16:38:36.719259: Овца (11, 18) съел растение на (11, 19). Голод: 0
2025-03-27 16:38:36.740691: Кролик (6, 6) съел растение на (6, 5). Голод: 0
2025-03-27 16:38:36.763149: Мышь (19, 15) съел растение на (19, 16). Голод: 0
2025-03-27 16:38:36.785570: Медведь (15, 13) съел Мышь на (15, 14). Голод: 0
2025-03-27 16:38:36.806010: Лиса (15, 13) съел Олень на (15, 14). Голод: 0
2025-03-27 16:38:36.825352: Орел (7, 17) съел Овца на (8, 17). Голод: 0
