2025-03-27 16:52:27.835095: Волк (5, 4) съел Лошадь на (6, 4). Голод: 0
2025-03-27 16:52:27.843315: Волк (9, 10) съел Кролик на (8, 9). Голод: 0
2025-03-27 16:52:27.857660: Волк (8, 9) съел Овца на (7, 8). Голод: 0
2025-03-27 16:52:27.871853: Волк (14, 7) съел Лошадь на (14, 7). Голод: 0
2025-03-27 16:52:27.885236: Волк (17, 17) съел Коза на (18, 18). Голод: 0
2025-03-27 16:52:27.899648: Волк (15, 1) съел Олень на (16, 0). Голод: 0
2025-03-27 16:52:27.916055: Волк (7, 5) съел Лошадь на (6, 4). Голод: 0
2025-03-27 16:52:27.929223: Волк (13, 0) съел Олень на (12, 0). Голод: 0
2025-03-27 16:52:27.943793: Волк (17, 17) съел Коза на (18, 18). Голод: 0
2025-03-27 16:52:27.953051: Волк (10, 13) съел Мышь на (9, 12). Голод: 0
2025-03-27 16:52:27.960116: Волк (10, 4) съел Олень на (9, 4). Голод: 0
2025-03-27 16:52:27.969281: Волк (8, 13) съел Олень на (7, 13). Голод: 0
2025-03-27 16:52:27.976370: Волк (19, 0) съел Коза на (18, 1). Голод: 0
2025-03-27 16:52:27.984500: Волк (14, 3) съел Кролик на (15, 2). Голод: 0
2025-03-27 16:52:27.993642: Волк (0, 0) съел Овца на (0, 0). Голод: 0
2025-03-27 16:52:28.001716: Волк (15, 10) съел Олень на (16, 11). Голод: 0
2025-03-27 16:52:28.009869: Волк (3, 14) съел Лошадь на (3, 13). Голод: 0
2025-03-27 16:52:28.018944: Волк (10, 14) съел Коза на (11, 13). Голод: 0
2025-03-27 16:52:28.026104: Волк (7, 0) съел Лошадь на (8, 1). Голод: 0
2025-03-27 16:52:28.035241: Волк (5, 12) съел Мышь на (5, 12). Голод: 0
2025-03-27 16:52:28.043323: Волк (6, 3) съел Лошадь на (6, 4). Голод: 0
2025-03-27 16:52:28.052528: Волк (13, 0) съел Олень на (12, 0). Голод: 0
2025-03-27 16:52:28.060657: Волк (18, 11) съел Лошадь на (17, 12). Голод: 0
2025-03-27 16:52:28.069238: Волк (5, 3) съел Лошадь на (6, 4). Голод: 0
2025-03-27 16:52:28.077378: Волк (17, 11) съел Олень на (16, 11). Голод: 0
2025-03-27 16:52:28.085661: Волк (13, 16) съел Олень на (13, 15). Голод: 0
2025-03-27 16:52:28.093867: Волк (4, 18) съел Кролик на (3, 18). Голод: 0
2025-03-27 16:52:28.102016: Волк (5, 8) съел Овца на (6, 8). Голод: 0
2025-03-27 16:52:28.110228: Волк (8, 7) съел Овца на (7, 8). Голод: 0
2025-03-27 16:52:28.118398: Волк (2, 13) съел Лошадь на (1, 12). Голод: 0
2025-03-27 16:52:28.127642: Волк (14, 17) съел Олень на (13, 16). Голод: 0
2025-03-27 16:52:28.135678: Волк (6, 4) съел Лошадь на (6, 4). Голод: 0
2025-03-27 16:52:28.143917: Волк (1, 0) съел Овца на (0, 0). Голод: 0
2025-03-27 16:52:28.152129: Волк (6, 10) съел Овца на (7, 10). Голод: 0
2025-03-27 16:52:28.160298: Волк (5, 2) съел Олень на (4, 1). Голод: 0
2025-03-27 16:52:28.169496: Волк (12, 17) съел Олень на (13, 16). Голод: 0
2025-03-27 16:52:28.179857: Волк (13, 14) съел Олень на (13, 15). Голод: 0
2025-03-27 16:52:28.187979: Волк (17, 19) съел Коза на (18, 18). Голод: 0
2025-03-27 16:52:28.196226: Волк (6, 15) съел Олень на (7, 16). Голод: 0
2025-03-27 16:52:28.204423: Волк (17, 5) съел Олень на (16, 6). Голод: 0
2025-03-27 16:52:28.216559: Волк (5, 0) съел Олень на (4, 1). Голод: 0
2025-03-27 16:52:28.225676: Олень (16, 0) съел растение на (16, 0). Голод: 0
2025-03-27 16:52:28.233936: Олень (9, 4) съел растение на (10, 5). Голод: 0
2025-03-27 16:52:28.242096: Олень (6, 19) съел растение на (5, 18). Голод: 0
2025-03-27 16:52:28.252288: Олень (12, 0) съел растение на (13, 0). Голод: 0
2025-03-27 16:52:28.261478: Олень (0, 3) съел растение на (0, 3). Голод: 0
