2025-03-27 17:06:25.239196: Волк (18, 7) съел Мышь на (19, 7). Голод: 0
2025-03-27 17:06:25.261483: Волк (17, 12) съел Овца на (18, 12). Голод: 0
2025-03-27 17:06:25.298021: Волк (2, 8) съел Лошадь на (2, 8). Голод: 0
2025-03-27 17:06:25.336733: Волк (18, 2) съел Овца на (17, 3). Голод: 0
2025-03-27 17:06:25.370910: Волк (16, 14) съел Олень на (16, 15). Голод: 0
2025-03-27 17:06:25.390616: Волк (10, 0) съел Олень на (10, 1). Голод: 0
2025-03-27 17:06:25.409341: Волк (18, 6) съел Мышь на (19, 7). Голод: 0
2025-03-27 17:06:25.428073: Волк (1, 12) съел Олень на (2, 12). Голод: 0
2025-03-27 17:06:25.448649: Волк (6, 13) съел Овца на (6, 14). Голод: 0
2025-03-27 17:06:25.464182: Волк (10, 7) съел Олень на (9, 8). Голод: 0
2025-03-27 17:06:25.479711: Волк (5, 19) съел Овца на (5, 18). Голод: 0
2025-03-27 17:06:25.491967: Волк (1, 12) съел Олень на (2, 12). Голод: 0
2025-03-27 17:06:25.504235: Волк (11, 2) съел Олень на (10, 1). Голод: 0
2025-03-27 17:06:25.516502: Волк (10, 16) съел Олень на (11, 15). Голод: 0
2025-03-27 17:06:25.528812: Волк (17, 1) съел Кролик на (17, 2). Голод: 0
2025-03-27 17:06:25.540086: Волк (15, 15) съел Олень на (16, 15). Голод: 0
2025-03-27 17:06:25.555526: Волк (8, 10) съел Лошадь на (9, 11). Голод: 0
2025-03-27 17:06:25.569772: Волк (7, 14) съел Овца на (6, 14). Голод: 0
2025-03-27 17:06:25.583165: Волк (11, 0) съел Олень на (10, 1). Голод: 0
2025-03-27 17:06:25.595366: Волк (6, 6) съел Коза на (6, 7). Голод: 0
2025-03-27 17:06:25.613745: Волк (2, 4) съел Мышь на (3, 4). Голод: 0
2025-03-27 17:06:25.633203: Волк (5, 15) съел Овца на (6, 14). Голод: 0
2025-03-27 17:06:25.656524: Волк (12, 9) съел Лошадь на (11, 8). Голод: 0
2025-03-27 17:06:25.675916: Волк (9, 9) съел Олень на (9, 8). Голод: 0
2025-03-27 17:06:25.706557: Волк (12, 10) съел Олень на (11, 11). Голод: 0
2025-03-27 17:06:25.759073: Волк (10, 10) съел Олень на (11, 11). Голод: 0
2025-03-27 17:06:25.768134: Волк (12, 5) съел Лошадь на (12, 5). Голод: 0
2025-03-27 17:06:25.789357: Волк (12, 17) съел Лошадь на (12, 16). Голод: 0
2025-03-27 17:06:25.813939: Волк (19, 12) съел Коза на (19, 11). Голод: 0
2025-03-27 17:06:25.830495: Волк (6, 18) съел Овца на (5, 18). Голод: 0
2025-03-27 17:06:25.842692: Волк (7, 13) съел Овца на (6, 14). Голод: 0
2025-03-27 17:06:25.857999: Волк (10, 3) съел Коза на (9, 4). Голод: 0
2025-03-27 17:06:25.871317: Волк (2, 13) съел Олень на (2, 12). Голод: 0
2025-03-27 17:06:25.883539: Волк (5, 7) съел Олень на (4, 6). Голод: 0
2025-03-27 17:06:25.895732: Волк (9, 3) съел Олень на (8, 2). Голод: 0
2025-03-27 17:06:25.908179: Волк (13, 17) съел Лошадь на (12, 16). Голод: 0
