2025-04-03 16:12:07.691664: Волк (7, 6) съел Кролик на (7, 5). Голод: 0
2025-04-03 16:12:07.705941: Волк (5, 0) съел Олень на (5, 0). Голод: 0
2025-04-03 16:12:07.717240: Волк (6, 17) съел Овца на (5, 16). Голод: 0
2025-04-03 16:12:07.727448: Волк (12, 8) съел Олень на (12, 7). Голод: 0
2025-04-03 16:12:07.737719: Волк (13, 9) съел Олень на (13, 8). Голод: 0
2025-04-03 16:12:07.749933: Волк (9, 8) съел Коза на (9, 7). Голод: 0
2025-04-03 16:12:07.761331: Волк (5, 18) съел Кролик на (6, 17). Голод: 0
2025-04-03 16:12:07.781484: Волк (7, 3) съел Овца на (7, 3). Голод: 0
2025-04-03 16:12:07.794705: Волк (0, 17) съел Олень на (1, 18). Голод: 0
2025-04-03 16:12:07.806917: Волк (8, 4) съел Овца на (7, 3). Голод: 0
2025-04-03 16:12:07.819128: Волк (13, 8) съел Олень на (12, 7). Голод: 0
2025-04-03 16:12:07.830379: Волк (3, 0) съел Олень на (2, 1). Голод: 0
2025-04-03 16:12:07.843566: Волк (18, 10) съел Олень на (17, 10). Голод: 0
2025-04-03 16:12:07.856829: Волк (6, 0) съел Олень на (5, 0). Голод: 0
2025-04-03 16:12:07.870038: Волк (3, 15) съел Олень на (4, 16). Голод: 0
2025-04-03 16:12:07.882331: Волк (9, 13) съел Олень на (8, 12). Голод: 0
2025-04-03 16:12:07.894534: Волк (17, 13) съел Олень на (17, 13). Голод: 0
2025-04-03 16:12:07.907718: Волк (11, 8) съел Олень на (12, 7). Голод: 0
2025-04-03 16:12:07.920005: Волк (6, 13) съел Олень на (5, 12). Голод: 0
2025-04-03 16:12:07.932195: Волк (0, 5) съел Олень на (0, 4). Голод: 0
2025-04-03 16:12:07.945446: Волк (14, 1) съел Коза на (13, 0). Голод: 0
2025-04-03 16:12:07.958642: Волк (11, 6) съел Олень на (12, 7). Голод: 0
2025-04-03 16:12:07.977810: Волк (15, 0) съел Лошадь на (16, 0). Голод: 0
2025-04-03 16:12:07.991178: Волк (9, 12) съел Олень на (9, 11). Голод: 0
2025-04-03 16:12:08.006461: Волк (1, 12) съел Лошадь на (2, 13). Голод: 0
2025-04-03 16:12:08.033028: Волк (12, 17) съел Овца на (11, 16). Голод: 0
2025-04-03 16:12:08.043132: Волк (14, 19) съел Олень на (14, 19). Голод: 0
2025-04-03 16:12:08.067381: Волк (14, 3) съел Олень на (14, 4). Голод: 0
2025-04-03 16:12:08.092641: Волк (19, 13) съел Кролик на (18, 13). Голод: 0
2025-04-03 16:12:08.120647: Волк (12, 4) съел Лошадь на (12, 3). Голод: 0
2025-04-03 16:12:08.152641: Волк (19, 14) съел Кролик на (18, 13). Голод: 0
2025-04-03 16:12:08.174641: Волк (5, 12) съел Олень на (5, 12). Голод: 0
2025-04-03 16:12:08.200641: Волк (2, 1) съел Олень на (2, 1). Голод: 0
2025-04-03 16:12:08.256439: Волк (19, 11) съел Лошадь на (18, 11). Голод: 0
2025-04-03 16:12:08.343876: Волк (2, 6) съел Олень на (2, 5). Голод: 0
2025-04-03 16:12:08.361600: Волк (5, 7) съел Олень на (6, 8). Голод: 0
2025-04-03 16:12:08.387887: Волк (17, 10) съел Олень на (17, 10). Голод: 0
2025-04-03 16:12:08.437593: Волк (13, 7) съел Олень на (12, 7). Голод: 0
2025-04-03 16:12:08.458861: Волк (5, 5) съел Мышь на (5, 6). Голод: 0
2025-04-03 16:12:08.482454: Волк (7, 16) съел Кролик на (6, 17). Голод: 0
2025-04-03 16:12:08.501138: Олень (9, 11) съел растение на (10, 10). Голод: 0
2025-04-03 16:12:08.528682: Олень (19, 1) съел растение на (18, 0). Голод: 0
2025-04-03 16:12:08.580908: Олень (5, 0) съел растение на (5, 1). Голод: 0
2025-04-03 16:12:08.603908: Олень (2, 5) съел растение на (3, 6). Голод: 0
2025-04-03 16:12:08.624483: Олень (12, 7) съел растение на (11, 6). Голод: 0
2025-04-03 16:12:08.639842: Олень (8, 12) съел растение на (8, 13). Голод: 0
2025-04-03 16:12:08.665191: Олень (2, 1) съел растение на (3, 1). Голод: 0
2025-04-03 16:12:08.710196: Олень (5, 12) съел растение на (5, 13). Голод: 0
2025-04-03 16:12:08.711195: Олень (1, 18) съел растение на (1, 19). Голод: 0
2025-04-03 16:12:08.724423: Олень (5, 12) съел растение на (4, 12). Голод: 0
2025-04-03 16:12:08.738701: Олень (17, 10) съел растение на (18, 11). Голод: 0
2025-04-03 16:12:08.756160: Олень (17, 13) съел растение на (17, 12). Голод: 0
2025-04-03 16:12:08.772509: Олень (14, 4) съел растение на (14, 5). Голод: 0
2025-04-03 16:12:08.790855: Олень (6, 8) съел растение на (6, 9). Голод: 0
2025-04-03 16:12:08.806227: Олень (0, 4) съел растение на (0, 4). Голод: 0
2025-04-03 16:12:08.825657: Олень (18, 1) съел растение на (18, 1). Голод: 0
2025-04-03 16:12:08.848907: Олень (10, 1) съел растение на (11, 1). Голод: 0
2025-04-03 16:12:08.862149: Олень (4, 16) съел растение на (5, 15). Голод: 0
2025-04-03 16:12:08.880704: Медведь (17, 12) съел Олень на (17, 13). Голод: 0
2025-04-03 16:12:08.897082: Лиса (15, 9) съел Кролик на (15, 9). Голод: 0
2025-04-03 16:12:08.910326: Орел (1, 4) съел Олень на (2, 5). Голод: 0
2025-04-03 16:12:08.924681: Лошадь (4, 16) съел растение на (5, 17). Голод: 0
2025-04-03 16:12:08.935935: Коза (16, 14) съел растение на (15, 15). Голод: 0
2025-04-03 16:12:08.948293: Овца (5, 16) съел растение на (5, 17). Голод: 0
2025-04-03 16:12:08.962510: Кролик (10, 5) съел растение на (10, 5). Голод: 0
2025-04-03 16:12:08.976862: Мышь (9, 10) съел растение на (10, 10). Голод: 0
2025-04-03 16:12:08.988977: Лиса (7, 6) съел Кролик на (7, 5). Голод: 0
2025-04-03 16:12:09.002336: Орел (9, 7) съел Коза на (9, 7). Голод: 0
2025-04-03 16:12:09.047446: Лошадь (11, 10) съел растение на (10, 10). Голод: 0
2025-04-03 16:12:09.093795: Коза (12, 15) съел растение на (11, 16). Голод: 0
2025-04-03 16:12:09.139124: Овца (7, 3) съел растение на (7, 3). Голод: 0
2025-04-03 16:12:09.158457: Кролик (15, 9) съел растение на (16, 10). Голод: 0
2025-04-03 16:12:09.186570: Медведь (19, 1) съел Олень на (19, 1). Голод: 0
2025-04-03 16:12:09.209574: Лиса (1, 3) съел Олень на (0, 4). Голод: 0
2025-04-03 16:12:09.220569: Орел (9, 6) съел Кролик на (10, 5). Голод: 0
2025-04-03 16:12:09.232569: Лошадь (12, 3) съел растение на (13, 3). Голод: 0
